Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9741055440469084,0.057803468208092484,0.9183673469387755,0.10876132930513595,0.9708434302252134
Random Forest,0.9994382219725431,0.8666666666666667,0.7959183673469388,0.8297872340425532,0.9551234129695773
